idproduto,cdprincipal,dscodigo,dsdetalhe,vlprecovenda,stativo,qtestoque,qtestoque2,qtestoque_ttl
000000003W,000979,7890000009799,CD HOJE SOU FELIZ - Carlos Rilmar,5.0,S,0.0,0.0,0.0
000000003X,000981,9788526300927,APRENDENDO A BIBLIA - Lauro B Pereira,42.95,S,0.0,0.0,0.0
000000003Y,000987,,3 DIMENSOES DA UNCAO  AS,9.9,S,0.0,0.0,0.0
000000003Z,000990,,MULTIPLICACAO  A,37.9,S,0.0,0.0,0.0
0000000040,000997,9788573677881,DICIONARIO DE RELIGIOES CRENCAS E OCULTISMO,69.0,S,0.0,0.0,0.0
0000000041,000998,9788573673975,FUNDAMENTOS DA TEOLOGIA CRISTA,49.0,S,0.0,0.0,0.0
0000000042,001011,,ATOS DOS APOSTOLOS - Myer Pearlman,34.9,S,0.0,0.0,0.0
0000000043,001043,7898203063327,BIBLIA ATRAVES DOS SECULOS (A) - Antonio,46.95,S,11.0,0.0,11.0
0000000043,001043,9788526303775,BIBLIA ATRAVES DOS SECULOS (A) - Antonio,46.95,S,11.0,0.0,11.0
0000000044,001097,7898203063280,CALENDARIO DA PROFECIA (O) - Antonio Gilberto,24.95,S,0.0,0.0,0.0
0000000045,001154,9788526301696,ROMANOS - Elienai Cabral,26.9,S,0.0,0.0,0.0
0000000046,001165,7898203061415,CATACUMBAS DE ROMA (AS) - Benjamin Scott,34.95,S,1.0,-1.0,0.0
0000000046,001165,9788526315952,CATACUMBAS DE ROMA (AS) - Benjamin Scott,34.95,S,1.0,-1.0,0.0
0000000047,001201,9788526300668,GALATAS  FILIPENSES  1 E 2 TESS - Frank Boyd,26.95,S,0.0,0.0,0.0
0000000048,001212,7890000012126,EXODO - Armando C Cohen,24.9,S,0.0,0.0,0.0
0000000049,001223,7890000012232,COMO PREPARAR SERMOES - Anisio B Dantas,19.95,S,0.0,0.0,0.0
000000004A,001234,,COMO RECEBER A CURA DIVINA - Bernhard Johnson,17.9,S,0.0,0.0,0.0
000000004B,001345,,CRISTIANISMO EM CRISE - Hank Hanegraaff,49.9,S,0.0,0.0,0.0
000000004C,001377,9788526300347,ENVIADO POR DEUS MEMORIAS DE DANIEL BERG,31.0,S,0.0,0.0,0.0
000000004D,001388,7898203063273,DANIEL E APOCALIPSE - Antonio Gilberto,39.95,S,0.0,0.0,0.0
000000004D,001388,9788526301337,DANIEL E APOCALIPSE - Antonio Gilberto,39.95,S,0.0,0.0,0.0
000000004E,001399,9788526305472,DANIEL  VERSICULO POR VERSICULO - Severino,39.95,S,0.0,0.0,0.0
000000004E,001399,9788526313293,DANIEL  VERSICULO POR VERSICULO - Severino,39.95,S,0.0,0.0,0.0
000000004F,001403,9788526310483,DESMASCARANDO AS SEITAS - Natanael Paulo,49.95,S,1.0,0.0,1.0
000000004G,001456,,DIARIO DE UM PIONEIRO (GUNNAR VINGREN) - IVAR,34.95,S,0.0,0.0,0.0
000000004H,001499,,DOUTRINAS BIBLICAS-BROCHURA - Stanley Horton,32.5,S,0.0,0.0,0.0
000000004I,001589,7890000015899,ESCATOLOGIA DOUTRINA DAS ULTIMAS COISAS,29.9,S,0.0,0.0,0.0
000000004J,001590,7898203060944,ESPADA CORTANTE VOL I (DN AP MT MC) - Orlando,99.95,S,3.0,0.0,3.0
000000004K,001604,7890000016049,ESPADA CORTANTE VOL II (LC JO AT) - Orlando,129.95,S,4.0,0.0,4.0
000000004L,001636,9788526303003,ESTUDOS SOBRE O APOCALIPSE - Armando Cohen,44.95,S,0.0,0.0,0.0
000000004M,001647,,ETICA PASTORAL - Nemuel Kessler,28.9,S,0.0,0.0,0.0
000000004N,001680,7890000016803,FAMILIA CRISTA NOS DIAS ATUAIS (A) - Elinaldo,27.9,S,0.0,0.0,0.0
000000004O,001705,9788526300996,FE SOB FOGO - Steven J Lawson,34.95,S,0.0,0.0,0.0
000000004P,001715,,GEOGRAFIA BIBLICA - Claudionor Andrade,39.95,S,0.0,0.0,0.0
000000004Q,001726,,GRANDES DEFESAS DO CRISTIANISMO (AS),29.9,S,0.0,0.0,0.0
000000004R,001737,,GRANDES DOUTRINAS DA BIBLIA (AS) - Raimundo,44.95,S,0.0,0.0,0.0
000000004S,001747,,ENSINA-NOS A ANDAR EM SEUS CAMINHOS,4.5,S,0.0,0.0,0.0
000000004T,001770,,HA UM MILAGRE EM SUA CASA - Tommy Barnett,29.9,S,0.0,0.0,0.0
000000004U,001780,7898203060289,HEROIS DA FE - Orlando Boyer,49.95,S,7.0,0.0,7.0
000000004U,001780,9788526312784,HEROIS DA FE - Orlando Boyer,49.95,S,7.0,0.0,7.0
000000004V,001791,9788526304178,HISTORIA DO CRISTIANISMO - Knight Anglin,44.95,S,2.0,0.0,2.0
000000004W,001805,9788526306417,HISTORIA DOS HEBREUS-OBRA COMPLETA - Flavio,189.9,S,1.0,-1.0,0.0
000000004X,001859,9788526300286,HOMILETICA  O PREGADOR E O SERMAO - Severino,22.9,S,0.0,0.0,0.0
000000004Y,001881,9788526305489,ILUSTRACOES SELECIONADAS - Alcides Pereira,24.9,S,0.0,0.0,0.0
000000004Z,001927,9798526302227,ISRAEL  GOGUE E O ANTICRISTO - Abraao Almeida,29.9,S,0.0,0.0,0.0
0000000050,001971,9788526300255,JOAO - Myer Pearlman,32.5,S,0.0,0.0,0.0
0000000051,001982,9788526301252,JOGRAIS E REPRESENTACOES - 2,24.9,S,2.0,-2.0,0.0
0000000052,001992,9788526301283,JOGRAIS E REPRESENTACOES - 1,27.9,S,1.0,-1.0,0.0
0000000053,002009,7898289920057,CD GLORIA SEM FIM - Noemia Nascimento,5.0,S,0.0,0.0,0.0
0000000054,002011,,JUVENTUDE CRISTA E O SEXO (A)-Elienai Cabral,16.9,S,0.0,0.0,0.0
0000000055,002013,7898289920118,CDPB GLORIA NA PROVA - Ednaldo Do Rio,5.0,S,0.0,0.0,0.0
0000000056,002014,,CDPB CONFIDENCIAS - Ozeias de Paula,5.0,S,0.0,-1.0,-1.0
0000000057,002054,,LENI E SEUS FILHOS - C E Mcnair,25.9,S,0.0,0.0,0.0
0000000058,002065,9788526300262,LUCAS - Myer Pearlman,24.9,S,0.0,0.0,0.0
0000000059,002097,7898203061118,MANUAL DA ESCOLA DOMINICAL - Antonio Gilberto,49.95,S,6.0,-1.0,5.0
0000000059,002097,9788526312401,MANUAL DA ESCOLA DOMINICAL - Antonio Gilberto,49.95,S,6.0,-1.0,5.0
000000005A,002101,,MANUAL DE CERIMONIAS - Temoteo R Oliveira,21.9,S,0.0,0.0,0.0
